야생동물구조센터명,XXX,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,야생동물구조센터지정일자,야생동물구조센터면적,수의사인원수,질병연구자인원수,진료실수,수술실수,영상진단실수,입원실수,유전자원보관실수,재활실수,격리실수,구조차량대수,운반상자현황,포획장비현황,진료장비현황,구조센터기능,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
(사)야생생물관리협회 원주지회,강원,강원도 원주시 원일로 159,강원도 원주시 일산동 226-2,37.352544,127.946356,9:00,24:00:00,휴무없음,2008-02-01,96,0,0,0,0,0,0,0,0,0,0,10,"케이지 대 6, 소 4",해당사항 없음,"신고시 현장출동 후 구조 및 방사, 치료 필요시 강원대 야생동물 구조센터 이송",한진규,033-747-9111,2021-08-18,4190000,강원도 원주시
(사)한국멸종위기 야생동식물보호협회 춘천시지부,강원,강원도 춘천시 공지로 482번길 8(근화동),강원도 춘천시 근화동 724-1,37.87576452,127.7156175,9:00,18:00,연중무휴,2017-02-28,,0,0,,,,,,,,,,,,,,033-241-8275,2020-12-21,4180000,강원도 춘천시
SEALIFE 부산아쿠아리움(멀린엔터테인먼트코리아(주)),부산,부산광역시 해운대구 해운대해변로 266,,35.1592713,129.1610038,0:00,24:00:00,연중무휴,2011-08-17,,1,1,,,,,,,,,,,,,송광호,051-740-1762,2019-08-16,1192000,해양수산부
경기도야생동물구조관리센터,경기,경기도 평택시 진위면 동천길 132-93,경기도 평택시 진위면 동천리 56-3,37.13202593,127.1183287,9:00,18:00,토요일+일요일+공휴일,2010-03-19,338,5,4,1,1,1,6,1,14,0,4,-,포획망외 8,X ray외 19,구조+질병연구+생태연구+보호관리+교육+기타,이재명,031-8008-6212,2020-04-28,3910000,경기도 평택시
경남야생동물센터,경남,경상남도 진주시 진주대로 501,경상남도 진주시 가좌동 900,35.15671511,128.0980021,9:00,18:00,연중무휴,2008-01-15,,5,1,1,1,1,3,1,9,2,2,켄넬10종,그물망외12종,X-ray외52종,"야생동물 구조 및 치료, 질병연구, 유전자원 보존 등",정동인,055-754-9575,2020-06-30,6480000,경상남도
공주대학교 예산캠퍼스 충남야생동물구조센터,충남,충청남도 예산군 예산읍 대학로 54,충청남도 예산군 예산읍 대회리 1,36.66988681,126.859415,9:00,18:00,토요일+일요일+공휴일,2010-09-09,1045,2,0,1,1,1,32,1,23,0,2,포유류 4개+기타 1개,조류 포획망+포유류 포획망+생포트랩+포획집게,무영등 2개+방사선촬영기 1개+수술대 1개+안과검사기 1개+진료대 1개+혈액분석기 1개+호흡마취기 1개,교육+구조+재활+조난+질병연구+치료+홍보+기타,박영석,041-334-1666,2020-12-07,4540000,충청남도 논산시
광주광역시야생동물구조관리센터,광주,광주광역시 서구 무진대로 576,광주광역시 서구 유촌동 820-111,35.16225673,126.8434511,9:00,18:00,연중무휴,2020-01-01,576,3,1,1,1,1,4,1,5,1,1,"대형1+중형1+소형2, 동물용 우리 6개",블로건+고글+그물+안전장갑,디지털엑스레이기+초음파,구조+치료+재활+자연방생+질병조사+생태연구+교육+기타,광주광역시보건환경연구원장,062-613-6651,2021-09-24,6290000,광주광역시
국립해양박물관,부산,부산광역시 영도구 해양로 301번길 45,,35.07856617,129.0802497,9:00,18:00,매주월요일,2016-03-09,,1,0,,,,,,,,,,,,,주강현,051-309-1900,2019-08-16,1192000,해양수산부
다사랑종합동물병원,대구,대구광역시 동구 신암로86-1,대구광역시 동구 신암동 1196-57,35.878708,128.610019,9:30,17:30,공휴일+국경일,2017-01-01,,1,0,1,1,1,1,,,,,,,,,손호희,053-942-0805,2021-05-18,3420000,대구광역시 동구
다오동물병원,인천,인천광역시 계양구 계산새로 71,"인천광역시 계양구 계산동 1062, 하이베라스 D동 213호",37.53878169,126.7358174,10:00,18:00,일요일+공휴일,2020-01-01,72,1,1,1,1,1,1,0,0,0,0,1,0,X-ray+초음파+혈액혈구분석기+고주파수술기,야생동물 구조 및 치료 등,송동호,032-548-0275,2021-08-23,3550000,인천광역시 계양구
대전야생동물구조관리센터,대전,대전광역시 유성구 대학로 99(충남대학교 수의과대학내),대전광역시 유성구 궁동 220,36.36836824,127.3420001,9:00,18:00,연중무휴,2013-12-10,891,2,3,1,1,1,5,1,1,1,2,운반용상자 14,용접용장갑 12+인조잔디바닥깔개 90+고글 1+안대용후드 7+멸균생리식염수 1+일반구급약품상자 1+포획용그물 4+올가미막대 1+안전집게 2+블로우건 2+촬영장비 2,진료대 2+수술대 1+수술등 1+흡입마취기 1+환축상태감시기 1+수액펌프 3+ X-ray1+광학현미경 1+혈액검사장비세트 2+원심분리기 3+집중치료시설 10+세균배양기 1+고압멸균소독기 1+자외선소독기 1+네블라이저 1+검이검안장비세트 1+일반외과수술기구 1+정형외과수술기구 2+미세수술장비 1+석션기 1,야생동물구조치료+재활방사+질병연구+기타,송근호,042-821-7930,2020-12-17,6300000,대전광역시
동인동물병원,대구,대구광역시 중구 동인동4가 국채보상로 724,대구광역시 중구 동인동4가 332,35.86839223,128.609676,9:30,18:30,일요일+국경일,1996-01-01,,2,0,2,2,1,12,,,3,,,,,,최동학,053-424-4311,2021-07-01,3410000,대구광역시 중구
롯데월드아쿠아리움,서울,서울특별시 송파구 올림픽로 300,,37.5136381,127.1044541,0:00,24:00:00,없음,2015-12-30,,2,7,1,1,0,1,1,0,1,1,3,몰이판+포획그물,1,1,박동기,02-3213-3348,2019-08-16,1192000,해양수산부
부산야생동물치료센터,부산,부산광역시 사하구 낙동남로 1240-2,부산광역시 사하구 하단동 1207-1,35.10581585,128.9431594,9:00,18:00,연중무휴,2008-10-27,1245,4,1,2,1,2,8,1,9,5,1,대형 맹수용 4개+기타4개,그물+포획용집게+마취총,진료대3+수술대1+영상장비4+마취기1,구조+치료관리+질병연구+보호관리+교육+기타,강이규,051-209-2090,2021-05-04,6260000,부산광역시
사단법인 한국동물구조관리협회,경기,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.87011581,126.9835431,9:00,18:00,일요일+공휴일,2017-03-01,450,1,8,1,1,0,6,0,1,1,8,40,포획틀+블로우건+뜰채,수술대2+마취기 등,구조+질병연구+보호관리 등,김철훈,031-867-9119,2021-05-07,5590000,경기도 양주시
서울대공원,경기,경기도 과천시 대공원광장로 102,,37.4362947,127.0140986,0:00,24:00:00,연중무휴,2018-04-06,300,5,2,1,1,1,15,1,0,1,1,5,보드+포획그물 등,X-ray+초음파+생화학자동분석기+흡입마취기 등,동물원동물 진료,송천헌,02-500-7770,2019-08-16,1192000,해양수산부
서울시 야생동물 구조관리센터,서울,"서울특별시 관악구 관악로1(신림동, 서울대학교 수의과대학 야생동물센터)",서울특별시 관악구 신림동 산56-1(서울대학교 수의과대학 야생동물센터),37.46803806,126.9592943,9:00,18:00,연중무휴,2017-07-01,290,1,5,1,1,1,1,1,1,1,2,대형 6개 + 기타 12개,바닥깔개+고글+그물+마취총,MRI+CT+수술대+마취기 외 74종,구조+보호관리+질병연구+진단검사+재활,연성찬,02-880-8659,2021-08-11,3120000,서울특별시 서대문구
아마존동물병원,경기,경기도 구리시 경춘로 128,경기도 구리시 교문동 270-2,37.60064391,127.1294581,9:00,18:00,일요일,2007-03-15,660,2,4,2,2,1,4,0,0,1,1,기타 12개,바닥깔개+고글+그물+마취총,진료대 2+수술대 2+마취기 1,구조+치료+재활+보호관리+방사+기타,박재원,031-564-0075,2021-07-23,3980000,경기도 구리시
영덕야생동물구조센터,경북,경상북도 영덕군 영덕읍 군청길 116,,36.415009,129.3654012,9:00,18:00,토요일+일요일,2018-04-01,,1,0,,,,,,,,,,,,,,054-730-6182,2021-09-15,5180000,경상북도 영덕군
울산광역시 야생동물구조센터,울산,울산광역시 남구 남부순환도로293번길 25-3,울산광역시 남구 옥동 506-3,35.52858231,129.2766344,9:00,18:00,연중무휴,2008-04-18,2521,2,0,1,1,1,2,0,1,0,1,13,10,38,"야생동물 구조 및 치료, 재활 등",고영진,052-226-0434,2021-04-26,3700000,울산광역시 남구
울산광역시남구도시관리공단(장생포고래생태체험관),울산,울산광역시 남구 장생포고래로 244,,35.50273814,129.3807886,9:00,18:00,매주월요일+명절당일(일반 관람만 휴관),2018-03-07,,1,0,,,,,,,,,,,,,정신택,052-226-1941,2019-08-16,1192000,해양수산부
울산광역시야생동물구조관리센터,울산,울산광역시 남구 남부순환도로 293번길 25-3,울산광역시 남구 옥동 506-2,35.5287779,129.2768224,9:00,18:00,연중무휴,2008-04-18,470,2,0,1,1,1,,0,33,20,1,대형 2개 + 중형 4개 + 소형 7개,뱀집게 등 10개,x-ray촬영장비등 54종,야생동물 구조+치료+재활+자연복귀+시료제공+교육+ 연구+기타,울산시설공단이사장(박순환),052-256-5322,2019-09-27,6310000,울산광역시
유동물병원,경기,경기도 의왕시 부곡중앙로 41,경기도 의왕시 삼동 208-10번지,37.32132115,126.953535,9:00,20:00,일요일+공휴일,2009-10-01,46,1,0,1,1,1,1,0,0,2,0,,,,야생동물 치료,류제영,031-462-8277,2021-07-26,4030000,경기도 의왕시
유일동물병원,경기,경기도 양평군 양평읍 미리내길 96,경기도 양평군 양평읍 도곡리 285-1,37.481074,127.534913,6:00,20:00,연중무휴,2012-01-01,60,1,1,1,1,,,,,,,,,,,,031-772-2727,2020-12-21,4170000,경기도 양평군
이성준동물병원,경기,경기도 안성시 중앙로 431-1,경기도 안성시 봉남동 326-2,37.006555,127.274781,9:30,19:00,일요일,2018-01-19,,1,2,2,1,1,1,0,1,1,1,,,,1,,031-673-5858,2021-03-15,4080000,경기도 안성시
인천야생동물구조관리센터,인천,인천광역시 연수구 송도국제대로372번길 21,인천광역시 연수구 송도동 13-20,37.36667283,126.638555,9:00,18:00,토요일+일요일+공휴일,2018-03-27,376,3,0,1,1,1,21,1,9,1,2,종이상자500개+케이지12개,그물망 15개+포획틀 3개+블로우건 개,X-ray+초음파+혈액혈구분석기+내시경+C-arm+ICU+호흡마취기+기타,야생동물 구조 및 치료 등,박진수,032-858-9702,2021-08-23,3550000,인천광역시 계양구
장유동물병원,경남,경상남도 김해시 능동로 11,경상남도 김해시 삼문동 77-14,35.1960914,128.7947602,10:00,19:00,일요일(휴일종료시각: 5시),2018-01-01,99,1,1,1,1,1,2,0,0,1,0,1,0,x선 초음파 혈액검사,,최종윤,055-313-7582,2020-12-10,5350000,경상남도 김해시
전남야생동물관리센터,전남,전라남도 순천시 순천만길 922-15(인월동),전라남도 순천시 인월동 226-1,34.89019742,127.4841772,9:00,18:00,무휴,2007-04-11,4665,2,2,1,1,1,30,1,25,3,1,"크기별 총 20개,     종이 운반상자 종류별 각200매","포획그물, 그라스퍼 등 5종",x-ray등 의료장비 50종,조난야생동물 구조 및 치료 후 방사,순천시장,061-749-4800,2021-08-03,4820000,전라남도 순천시
전북대 치료센터,전북,전라북도 익산시 마동 194-5,전라북도 익산시 고봉로 79,,,9:00,18:00,토요일+일요일+공휴일,2009-04-30,31044,3,4,10,10,10,10,10,10,10,2,대형 맹수용2개+기타3개,바닥깔개+마취총,진료대4+수술대5+마취기1,구조+질병연구+보호관리+교육+기타,홍길동,063-850-0975,2021-09-17,4700000,전라북도 남원시
전북야생동물구조관리센터,전북,전라북도 익산시 마동 고봉로 79 전북대학교익산캠퍼스 3공학관,전라북도 익산시 마동 194-5,35.94245239,126.9599065,9:00,18:00,연중무휴,2006-09-14,,2,0,8,1,1,3,,,1,2,특대형+대형+중형+중소형+소형,,진료대+수술대+마취기,구조+치료+방생,박진호,063-850-0983,2021-06-18,4720000,전라북도 완주군
전북야생동물구조관리센터,전북,전라북도 익산시 고봉로 79,전라북도 익산시 마동 194-5,35.94245239,126.9599065,9:00,18:00,연중무휴,2006-09-14,,2,0,8,1,1,3,,,1,2,특대형+대형+중형+중소형+소형,,진료대+수술대+마취기,구조+치료+방생,박진호,063-0850-0983,2021-03-18,4680000,전라북도 익산시
제일가축병원,경북,경상북도 문경시 호서로 82,경상북도 문경시 흥덕동 249-10,36.601523,128.202174,9:00,18:00,휴무없음,2000-01-01,50,1,5,1,1,1,1,1,1,1,1,10,5,10,야생동물구조,김진영,054-553-3308,2021-07-09,5120000,경상북도 문경시
제일동물병원,경북,경상북도 칠곡군 왜관읍 2번도로길 121,경상북도 칠곡군 왜관읍 왜관리 207-34,35.998451,128.3968911,9:00,18:00,토요일+일요일+공휴일,2018-01-01,116,1,0,1,0,0,0,0,0,0,1,1,1,,부상 야생동물 1차진료,김만조,054-973-8300,2020-07-01,5220000,경상북도 칠곡군
제주야생동물구조센터,제주,제주특별자치도 제주시 516로 2946,,33.4437015,126.5647043,9:00,22:00,연중무휴,2010-10-25,8364,2,5,3,1,1,15,1,4,9,2,대형10개(노루용)+소형10개(조류용)+기타 1개(족제비),포획망 10개+마취총 1개+뱀찝게 1개,진료대 1+수술대 1+마취기 1+X- ray  1+내시경 1+현미경 1+초음파 1+검안경 1+계수기 1+분석기 1,야생동물 구조활동+야생동물 질병연구+야생동물 생태연구+야생동물 보호관리+청소년생태체험학습,,064-752-9982,2021-09-15,6500000,제주특별자치도
㈜경포아쿠아리움,강원,강원도 강릉시 난설헌로 131,,37.7910066,128.9062411,0:00,24:00:00,없음,2018-11-05,,2,2,,,,,,,,,,,,,남양,033-645-7887,2019-08-16,1192000,해양수산부
㈜마린파크,제주,제주특별자치도 서귀포시 안덕면 화순중앙로 132,,33.2408119,126.334718,0:00,24:00:00,없음,2018-03-07,,1,0,,,,,,,,,,,,,김형태,064-792-7776,2019-08-16,1192000,해양수산부
충남야생동물구조센터,충남,충청남도 예산군 예산읍 대학로54번길,충청남도 예산군 예산읍 대회리 산 45,36.67122955,126.8613881,9:00,18:00,공휴일+토요일+일요일+(휴일당직자1인근무),2010-09-09,1045,2,0,1,1,1,32,1,23,0,2,포유류케이지4개+종이상자(소모품),조류 포획망3+포유류포획망1+생포트랩3+포획집게2,호흡마취기1+ 수술대1+진료대1+방사선촬영기1+무영등2+안과검사기1+혈액분석기1,조난 또는 부상당한 야생동물의 구조 치료관리 및 재활훈련+야생동물의 질병연구+멸종위기종 등 야생동물의 보전 및 생물자원의 보존관리+기타,박영석,041-330-1666,2021-07-26,4610000,충청남도 예산군
충북 야생동물센터,충북,충청북도 청주시 청원구 오창읍 양청4길 45,,36.728384,127.438086,9:00,18:00,토요일+일요일+공휴일,2014-09-30,,2,2,,,,,,,,,,,,,,043-216-3328,2018-08-23,5570000,충청북도 증평군
코엑스아쿠아리움,서울,서울특별시 강남구 영동대로 513,서울특별시 강남구 삼성동 159,37.51182795,127.0591558,0:00,24:00:00,연중무휴,2019-06-10,15970,1,19,1,,,2,,2,3,1,5,운송 틀+산소공급장치+구급약품 등,,해양생물구조치료,양수용,02-700-7200,2019-08-16,1192000,해양수산부
파랑새동물병원,경북,경상북도 구미시 고아읍 들성로11길 6-5,경상북도 구미시 고아읍 문성리 1294,36.16208508,128.3489706,9:00,18:00,일요일+공휴일,2005-03-01,82,1,0,,1,,2,,,,,1,,혈액분석기+X-RAY,치료,박정우,054-456-4791,2020-10-27,5080000,경상북도 구미시
하남동물병원,경기,경기도 하남시 신평로 37,경기도 하남시 덕풍동 420-35,37.537157,127.204029,10:30,19:30,휴일,2019-01-14,0,1,1,1,1,1,1,0,0,1,0,,,,,이상인,031-793-7802,2020-05-01,4040000,경기도 하남시
한국동물구조관리협회,경기,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.87011581,126.9835431,9:00,18:00,"일요일,법정공휴일",1998-01-01,,1,8,1,1,0,1,0,1,1,5,100,10,응급처치장비,야생동물구조 및 응급처치,김철훈,031-867-9119,2021-07-14,3820000,경기도 의정부시
한화아쿠아플라넷 여수,전남,전라남도 여수시 오동도로 61-11,전라남도 여수시 수정동 774-1,34.7463071,127.7486576,10:00,19:00,연중무휴,2018-03-07,16400,1,6,,,,,,,,,,,,,문석,061-660-1111,2019-08-16,1192000,해양수산부
한화아쿠아플라넷 제주,제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,제주특별자치도 서귀포시 성산읍 고성리 127-3,33.4344998,126.9260799,10:00,19:00,연중무휴,2018-03-07,25893,1,2,,,,,,,,,,,,,문석,064-780-0900,2019-08-16,1192000,해양수산부
